Feature,Importance_LGBM,Importance_CAT,Importance_Avg
project_quality_score,4.265151515151515,19.149797564215874,11.707474539683695
ft,2.878787878787879,14.86577661316821,8.872282245978045
all_score_mean,3.4166666666666665,12.149339202978856,7.783002934822761
technical_interview_score,4.348484848484849,7.647590952827069,5.998037900655959
application_year,2.7803030303030303,5.399862416173755,4.0900827232383925
communication_score,3.234848484848485,2.9263245336255057,3.080586509236995
target_role,3.121212121212121,2.222259478218437,2.671735799715279
profile_mean,2.3409090909090913,2.3782834722668413,2.359596281587966
bert,1.893939393939394,2.3989722957536017,2.146455844846498
interview_mean,2.272727272727273,1.5527886967569553,1.9127579847421141
github_total_stars,2.242424242424242,1.1844916265930963,1.7134579345086691
real_client_project_count,1.3030303030303032,2.119361711723426,1.7111960073768646
portfolio_score,2.659090909090909,0.7332315668096008,1.696161237950255
word,1.606060606060606,1.6425852085926302,1.624322907326618
problem_solving_score,2.106060606060606,1.009080499861008,1.557570552960807
char,1.3484848484848484,1.7420330625251317,1.54525895550499
internship_duration_months,1.9696969696969695,1.0370816833298513,1.5033893265134104
university_tier_ord,1.3863636363636365,1.5902448597722871,1.4883042480679618
applications_sent,1.9393939393939394,1.02307141322634,1.4812326763101398
english_exam_score,2.265151515151515,0.6127744216757461,1.4389629684136307
teamwork_score,2.0681818181818183,0.6582864565119448,1.3632341373468817
interview_gap,2.287878787878788,0.38290660854374037,1.3353926982112643
total_activity,1.3560606060606062,1.2858183102049858,1.320939458132796
cgpa_minus_failed,1.7045454545454544,0.8383604556232361,1.2714529550843452
open_source_contribution_count,1.4090909090909092,1.0318763327444835,1.2204836209176964
hr_interview_score,1.9090909090909092,0.33302864391217063,1.12105977650154
github_avg_stars,1.8181818181818181,0.3976291517701033,1.1079054849759606
soft_mean,1.5075757575757576,0.5432723826428639,1.0254240701093107
linkedin_profile_score,1.7272727272727273,0.26602252552559863,0.9966476263991629
cgpa_x_attendance,1.4393939393939394,0.5455457786660849,0.9924698590300122
cv_quality_score,1.6666666666666667,0.28090260757808394,0.9737846371223753
cgpa,1.2121212121212122,0.6568446010254607,0.9344829065733364
frontend_score,1.378787878787879,0.48745087926856817,0.9331193790282235
github_repo_count,1.0757575757575757,0.7816688082320494,0.9287131919948126
cloud_score,1.3636363636363635,0.484033497834123,0.9238349307352433
soft_std,1.6212121212121213,0.21068869298705972,0.9159504070995905
tech_std,1.4621212121212122,0.3254657970389622,0.8937935045800872
avg_internship_len,1.371212121212121,0.34532613578276533,0.8582691284974432
leadership_score,1.3939393939393938,0.31851613089537295,0.8562277624173834
attendance_rate,1.2651515151515151,0.41321594337441264,0.8391837292629639
presentation_score,1.5,0.17537700860433925,0.8376885043021696
failed_courses_count,0.803030303030303,0.7121090415519946,0.7575696722911488
coding_score,1.3181818181818181,0.1859201443919874,0.7520509812869027
machine_learning_score,1.106060606060606,0.3127724750869166,0.7094165405737612
sql_score,1.1136363636363638,0.282481423248111,0.6980588934422374
devops_score,1.143939393939394,0.24690034390363103,0.6954198689215125
hobby,1.3333333333333335,0.0271448687207597,0.6802391010270465
backend_score,1.1287878787878787,0.19625857156200824,0.6625232251749434
data_structures_score,1.174242424242424,0.09122925115551295,0.6327358376989685
interview_conv,1.053030303030303,0.18127265368513812,0.6171514783577206
tech_max,0.8484848484848486,0.26707000135876635,0.5577774249218075
tech_min,0.8484848484848486,0.24071788185317552,0.544601365169012
total_real_projects,0.44696969696969696,0.5854165300269839,0.5161931134983404
tech_mean,0.7424242424242424,0.2462469270390738,0.4943355847316581
hackathon_winrate,0.6060606060606061,0.36348427013288365,0.48477243809674486
interviews_attended,0.5378787878787878,0.3609605259006966,0.4494196568897422
university_tier,0.3257575757575758,0.4689036913202052,0.39733063353889053
bootcamp_count,0.36363636363636365,0.31195684233392973,0.3377966029851467
department,0.5757575757575757,0.08591030550498253,0.33083394063127913
preferred_social_media_platform,0.5681818181818182,0.01416821027545651,0.2911750142286374
certification_count,0.4015151515151515,0.1597627776600008,0.28063896458757615
hackathon_count,0.3181818181818182,0.12725757255360284,0.22271969536771052
age,0.38636363636363635,0.05365683946155975,0.22001023791259805
internship_count,0.2803030303030303,0.08727717271601863,0.18379010150952446
freelance_project_count,0.2803030303030303,0.03955245132763725,0.15992774081533376
age_at_grad,0.17424242424242423,0.07382858325857475,0.12403550375049949
hackathon_awards,0.13636363636363638,0.050017984325788724,0.09319081034471255
years_since_grad,0.045454545454545456,0.05955420015130874,0.05250437280292709
hackathon_winrate_isna,0.007575757575757576,0.01228630773649668,0.009931032656127128
github_total_stars_isna,0.0,0.008694122896173327,0.004347061448086663
english_exam_score_isna,0.007575757575757576,0.0,0.003787878787878788
avg_internship_len_isna,0.007575757575757576,0.0,0.003787878787878788
interview_conv_isna,0.0,0.0,0.0
interview_gap_isna,0.0,0.0,0.0
hr_interview_score_isna,0.0,0.0,0.0
linkedin_profile_score_isna,0.0,0.0,0.0
open_source_contribution_count_isna,0.0,0.0,0.0
github_avg_stars_isna,0.0,0.0,0.0
portfolio_score_isna,0.0,0.0,0.0
internship_duration_months_isna,0.0,0.0,0.0
